Actual_Price,Predicted_Price,Error
1200.0,763.3423,-436.65771484375
7400.0,3890.4038,-3509.59619140625
1200.0,1084.2999,-115.7000732421875
1299.0,884.23816,-414.7618408203125
140.0,315.05887,175.05886840820312
4500.0,2588.1282,-1911.871826171875
600.0,913.36444,313.36444091796875
1000.0,1102.0271,102.027099609375
888.0,941.0714,53.0714111328125
1055.0,1459.8611,404.861083984375
1450.0,1147.1104,-302.8896484375
1840.0,1162.88,-677.1199951171875
888.0,778.8592,-109.14080810546875
330.0,559.064,229.06402587890625
1250.0,546.98334,-703.0166625976562
350.0,462.68588,112.68588256835938
3158.0,2849.8333,-308.166748046875
3450.0,2510.8562,-939.143798828125
1000.0,757.537,-242.4630126953125
10500.0,11606.951,1106.951171875
1499.0,1171.977,-327.02294921875
210.0,150.41975,-59.58024597167969
730.0,10023.015,9293.0146484375
580.0,639.16394,59.1639404296875
260.0,280.17816,20.17816162109375
1055.0,1228.7144,173.71435546875
1495.0,1313.955,-181.0450439453125
333.0,349.64795,16.64794921875
800.0,993.38495,193.38494873046875
4900.0,1117.721,-3782.279052734375
1500.0,1595.2014,95.201416015625
800.0,309.3282,-490.67181396484375
999.0,887.336,-111.66400146484375
1060.0,632.4484,-427.55157470703125
988.0,582.2251,-405.77490234375
210.0,147.44055,-62.5594482421875
2088.0,1895.167,-192.8330078125
400.0,264.99094,-135.00906372070312
2680.0,1430.321,-1249.678955078125
750.0,821.31256,71.31256103515625
300.0,291.06244,-8.93756103515625
900.0,1123.4655,223.4654541015625
1400.0,1558.9817,158.981689453125
843.0,956.0315,113.031494140625
288.0,307.1457,19.14569091796875
2600.0,3066.1597,466.15966796875
1280.0,1031.596,-248.404052734375
1388.0,1066.5404,-321.4595947265625
730.0,507.08755,-222.91244506835938
210.0,609.2024,399.202392578125
400.0,314.46024,-85.53976440429688
230.0,368.48895,138.48895263671875
1500.0,1349.9436,-150.056396484375
700.0,506.1605,-193.83950805664062
350.0,243.69193,-106.30807495117188
5000.0,5997.304,997.30419921875
720.0,547.3508,-172.649169921875
600.0,1001.0182,401.0181884765625
950.0,1290.8219,340.8218994140625
1100.0,884.7195,-215.280517578125
